student_firstname,student_lastname,student_middlename,student_address,birthdate,birthplace,student_phonenumber,studenttype,sex,yearstarted,gradestarted,yearexpelled,yeardroppedout,yeargraduated,schoolfrom,schoolto,parent_firstname,parent_lastname,parent_address,econtact_firstname,econtact_lastname,econtact_address,econtact_phonenumber
Krissie,Seydlitz,Lingfoot,22 Surrey Plaza,9/6/2014,Reszel,(853) 6216519,Graduate,Female,2000,1st grade,2004,0,1990,,,Dacey,Seydlitz,22 Surrey Plaza,Lanna,Spaven,349 Schiller Terrace,628-933-3058
Finley,Halwood,Gapper,5 Green Hill,11/29/1997,Iguatu,(814) 5760366,Undergraduate,Male,1984,1st grade,1995,0,1999,,,Myron,Halwood,5 Green Hill,Gerald,Brisco,59181 Corscot Trail,311-175-6577
Ches,Faint,Kleinfeld,4025 Hayes Court,10/6/2005,Ourozinho,(275) 6934811,Graduate,Male,2010,1st grade,2004,0,2001,,,Shaw,Faint,4025 Hayes Court,Burty,Minney,206 Raven Center,172-629-0984
Stephen,Murtagh,Cullinan,16435 Sachs Junction,7/26/2000,Bourgoin-Jallieu,(690) 4985829,Undergraduate,Male,2001,1st grade,1983,0,2002,,,Buckie,Murtagh,16435 Sachs Junction,Frasquito,Hupka,3 Sunnyside Pass,351-969-0707
Godart,Dunkerley,Risman,298 Cambridge Hill,4/29/2008,San Diego,(619) 5474619,Undergraduate,Male,2010,1st grade,1994,0,2003,,,Lewes,Dunkerley,298 Cambridge Hill,Dukie,Picott,73596 Pine View Trail,345-851-6136
Christoph,Cleave,Pine,79 Goodland Street,12/23/1995,Vale da Bajouca,(737) 1710095,Undergraduate,Male,2002,1st grade,1963,0,2004,,,Romeo,Cleave,79 Goodland Street,Nilson,Chue,96819 Ronald Regan Way,630-304-9793
Sorcha,Gouch,Egiloff,9438 Manufacturers Parkway,3/6/1998,Marantao,(595) 8956963,Graduate,Female,2003,1st grade,2011,0,2003,,,Tamara,Gouch,9438 Manufacturers Parkway,Arlene,Ritch,562 Sullivan Drive,307-889-2886
Aindrea,Pheazey,Strowan,3875 Mifflin Drive,2/6/2000,Blokdesa Situgede,(642) 8229169,Undergraduate,Female,2011,1st grade,1968,0,2004,University of the Philippines,Ateneo de Manila University,Tomi,Pheazey,3875 Mifflin Drive,Sisely,Machan,07121 Stoughton Pass,486-400-7434
Hanson,Jasik,Vell,5 Ridgeview Court,7/17/2009,Mﾄ・rupe,(325) 8898232,Undergraduate,Male,2009,1st grade,1998,0,2004,,,Bradley,Jasik,5 Ridgeview Court,De witt,Bentame,578 Huxley Plaza,241-450-8726
Gran,Caro,Lalley,5 Pierstorff Alley,7/22/2007,Parakanpanjang,(445) 5067553,Undergraduate,Male,2006,1st grade,1984,0,1994,,,Budd,Caro,5 Pierstorff Alley,Lorant,Pasek,30 Forest Dale Alley,678-587-2779
Clarey,Stoop,Kerbler,37835 Talisman Crossing,5/14/2004,Saint Hubert,(853) 8266273,Undergraduate,Female,1999,1st grade,1993,0,1992,,,Leola,Stoop,37835 Talisman Crossing,Dot,Garvagh,9168 Buena Vista Road,308-208-0236
Innis,Antrum,Marval,0969 Brickson Park Alley,10/14/2012,Seixezelo,(288) 3374072,Graduate,Male,1985,1st grade,2008,0,2011,,,Birch,Antrum,0969 Brickson Park Alley,Arnoldo,Atterbury,46397 Bashford Drive,887-460-2583
Dieter,Swindon,Wadge,006 Twin Pines Avenue,6/3/2009,Alzamay,(801) 5272721,Graduate,Male,1997,1st grade,1993,0,2002,,,Poul,Swindon,006 Twin Pines Avenue,Orrin,Fanthom,71975 Springs Hill,443-372-7335
Terese,Sawter,Smerdon,8 Mariners Cove Way,1/2/2000,Gﾃｶteborg,(285) 5798410,Undergraduate,Female,2002,1st grade,1997,0,1986,,,Margeaux,Sawter,8 Mariners Cove Way,Betteanne,Cropper,78386 Dixon Terrace,349-904-1758
Nomi,Balleine,Colenutt,6176 Gerald Street,11/3/1994,Marinhais,(902) 1447774,Graduate,Female,2005,1st grade,1992,0,1994,,,Gusta,Balleine,6176 Gerald Street,Rahal,Ropert,83 Transport Lane,149-483-3855
Judah,O'Corren,Ong,74048 Towne Crossing,12/5/1995,Prioso Barat,(835) 9851214,Graduate,Male,2004,1st grade,2006,2001,2009,,,Gregoire,O'Corren,74048 Towne Crossing,Stevy,Cavilla,8703 Johnson Pass,681-578-3641
Duncan,Winspeare,Baus,27 Tennessee Avenue,8/14/1999,Colcabamba,(479) 7985196,Graduate,Male,2006,1st grade,2012,0,1976,,,Gardiner,Winspeare,27 Tennessee Avenue,Heath,Lockhurst,45 Wayridge Hill,258-130-9020
Barry,Swatradge,Ivanovic,19561 Springview Road,5/25/2005,Klobuky,(311) 9493660,Graduate,Female,1992,1st grade,2007,0,1998,,,Lexis,Swatradge,19561 Springview Road,Abigale,Addicote,2 Trailsway Point,606-601-1569
Vinnie,Kille,Sauniere,730 Superior Place,9/10/1997,Pasirmalang,(328) 5807876,Graduate,Male,2001,1st grade,1993,0,2003,,,Burlie,Kille,730 Superior Place,Kenn,Kingsford,5 Sheridan Alley,718-469-0312
Nana,Friend,Iveson,01 Bartelt Trail,10/27/1994,Montargis,(117) 1372342,Undergraduate,Female,2004,1st grade,1997,0,1992,,,Dasie,Friend,01 Bartelt Trail,Robbin,Clelland,5 Mesta Court,433-778-6200
Carter,Simonazzi,Vella,3 Clemons Court,12/12/2004,Bandar ・・Abbﾄ・s,(413) 2331287,Graduate,Male,1997,1st grade,2007,0,2009,,,Caesar,Simonazzi,3 Clemons Court,Dwight,Goodfield,32 Harbort Lane,287-445-9586
Allister,Bowkett,Brackenridge,6 Superior Avenue,8/18/2011,Sult,(555) 6154997,Graduate,Male,2011,1st grade,2012,0,1989,,,Land,Bowkett,6 Superior Avenue,Leonhard,Delmonti,98773 Namekagon Court,819-546-6624
Andonis,Silvermann,Ladbrook,02457 Grover Alley,12/16/2012,Volgorechensk,(784) 9806938,Undergraduate,Male,1995,1st grade,1990,0,2007,,,Elihu,Silvermann,02457 Grover Alley,Niki,Braikenridge,80128 Sunbrook Point,913-471-8526
Storm,Edmonston,Skey,61 Welch Road,1/21/2012,Shanglu,(715) 4929478,Graduate,Female,2010,1st grade,2011,0,2007,,,Sal,Edmonston,61 Welch Road,Nanni,Hurnell,1 Garrison Street,167-556-7898
Ebba,Cough,Olsson,985 Bay Parkway,7/23/2012,Kﾄ・ty Wrocﾅ・awskie,(776) 4059774,Graduate,Female,1968,1st grade,2006,0,2001,,,Steffane,Cough,985 Bay Parkway,Kerrill,Rylstone,971 Alpine Trail,542-121-5059
Moses,Lacotte,Ciabatteri,8 Bultman Plaza,11/21/2003,Riga,(842) 7764119,Undergraduate,Male,2007,1st grade,2007,0,2002,De La Salle University,Ateneo de Manila University,Dillie,Lacotte,8 Bultman Plaza,Caleb,Atcock,3 Dahle Terrace,407-639-6657
Dene,Adamides,Ewebank,334 Reindahl Road,2/13/2010,San Francisco,(449) 3829755,Undergraduate,Male,1990,1st grade,2009,0,1994,,,Wylie,Adamides,334 Reindahl Road,Mile,Boshere,2 Drewry Place,824-887-5827
Katusha,Worrill,Dinse,83 Fairfield Street,10/22/2002,Xinxing,(807) 1492543,Undergraduate,Female,1996,1st grade,1987,0,1998,,,Barrie,Worrill,83 Fairfield Street,Karalee,Essberger,71 Ridge Oak Circle,645-514-0675
Ede,Danilchenko,O'Corrane,1736 Hudson Place,4/2/1994,Nykﾃｶping,(956) 9089024,Undergraduate,Female,2006,1st grade,2013,0,1999,,,Leesa,Danilchenko,1736 Hudson Place,Ermina,Devennie,71271 Esker Point,632-836-0945
Katti,Julyan,Fehely,33321 Hoffman Street,5/1/1998,Cabaret,(695) 7654002,Undergraduate,Female,2009,1st grade,2002,0,2001,,,Jodi,Julyan,33321 Hoffman Street,Kevina,Proback,743 Myrtle Parkway,196-204-5844
Ken,Straw,Wyman,86 Bluejay Terrace,1/23/2014,Bondo,(988) 8457058,Undergraduate,Male,1988,1st grade,2005,0,2009,,,Raimund,Straw,86 Bluejay Terrace,Hiram,Baynard,2389 Service Street,792-802-0040
Shannan,O'Sherrin,Batchley,6 Village Green Point,10/25/1999,Boca Suno,(775) 1372007,Graduate,Male,2003,1st grade,1990,0,2009,,,Dewie,O'Sherrin,6 Village Green Point,Tabb,Van der Linde,57684 Northview Road,329-793-3014
Winfield,Jannex,Dybell,78 Iowa Point,9/7/1999,Nagrog Wetan,(791) 3609876,Graduate,Male,1999,1st grade,2007,0,2005,,,Monty,Jannex,78 Iowa Point,Francklyn,Atling,996 Tomscot Crossing,201-141-3538
Camile,Cranmere,Mager,323 Magdeline Hill,3/14/2012,Kagay,(542) 2817069,Graduate,Female,1996,1st grade,2006,0,2001,,,Sena,Cranmere,323 Magdeline Hill,Brena,Keirl,50045 Hanover Terrace,939-696-9539
Nomi,Chaffer,Scarborough,551 Westridge Center,3/6/2010,Roshnik,(936) 6777235,Undergraduate,Female,2001,1st grade,1993,0,2012,,,Billi,Chaffer,551 Westridge Center,Reyna,Gregol,045 Meadow Vale Way,132-979-9180
Jenilee,Dungay,Botten,48 Bartillon Place,8/23/1999,Tbilisskaya,(339) 1748877,Undergraduate,Female,1973,1st grade,1998,0,2002,,,Lauree,Dungay,48 Bartillon Place,Anselma,Dwyer,3383 Pine View Park,746-421-9305
Clem,De Vere,Francom,670 Canary Way,11/1/2006,Kontagora,(734) 5430753,Graduate,Male,2000,1st grade,2009,0,2003,De La Salle University,Ateneo de Manila University,Calhoun,De Vere,670 Canary Way,Clim,Wiszniewski,6 Colorado Way,671-782-9569
Faulkner,Claybourne,Casol,775 Hollow Ridge Road,11/6/1996,Banyumas,(921) 4422051,Undergraduate,Male,2010,1st grade,2000,0,1986,,,Vittorio,Claybourne,775 Hollow Ridge Road,Gustavus,Siggens,9488 4th Point,697-601-9208
Imogen,Nevin,Swayne,29856 Corben Pass,1/13/2002,Vaﾌ｣n Giaﾌ・,(914) 3474206,Graduate,Female,1968,1st grade,2002,0,1986,University of Santo Tomas,Ateneo de Manila University,Katha,Nevin,29856 Corben Pass,Chad,De Cristofalo,77 Coleman Drive,160-891-5663
Daphene,Livsey,Wines,61 Loomis Pass,9/23/2008,・・Izrﾄ・,(531) 3674135,Undergraduate,Female,1998,1st grade,1995,0,1995,,,Leora,Livsey,61 Loomis Pass,Jaine,Salmen,64690 Welch Trail,495-957-2862
Jami,Gleeson,Kerr,13530 Glendale Place,3/16/2013,Hola Prystan・・,(297) 5205730,Undergraduate,Female,2010,1st grade,1997,0,2007,University of Santo Tomas,Ateneo de Manila University,Bobbi,Gleeson,13530 Glendale Place,Tiff,Lackner,55084 Sherman Center,824-232-6248
Yardley,Ruben,Nizard,01 Barnett Point,3/3/2001,Crato,(499) 3006993,Undergraduate,Male,1995,1st grade,1988,0,1984,,,Curry,Ruben,01 Barnett Point,Gideon,Rubinek,33 Fairview Center,737-288-3486
Dione,Dossit,Bithell,997 Meadow Valley Trail,4/1/2010,Ibotirama,(212) 9552212,Undergraduate,Female,1985,1st grade,1999,0,2006,,,Berthe,Dossit,997 Meadow Valley Trail,Vanny,Zealey,5 Quincy Court,488-160-5307
Melany,Sprowles,Pegler,72564 Northview Road,5/19/2000,Tomilino,(999) 6619982,Graduate,Female,2004,1st grade,1993,0,2006,De La Salle University,Ateneo de Manila University,Corry,Sprowles,72564 Northview Road,Alysa,Wardingly,33106 Russell Pass,135-896-7761
Valentina,Satchell,Tamplin,3482 Rigney Avenue,12/30/2004,Yagoua,(772) 6201598,Undergraduate,Female,2010,1st grade,1996,0,2008,,,Lucille,Satchell,3482 Rigney Avenue,Iseabal,Ambrozewicz,2249 School Park,185-208-4715
Ezequiel,Heskey,Olesen,2 Packers Road,7/21/1996,Nanniu,(304) 5192412,Undergraduate,Male,1996,1st grade,1996,0,2003,,,Glyn,Heskey,2 Packers Road,Friedrick,Standen,786 Fairfield Alley,974-376-2774
Franky,Mattingley,Paszek,51 Hayes Plaza,9/18/2012,Bayanhongor,(440) 2356669,Undergraduate,Female,2012,1st grade,2008,0,2012,,,Wenonah,Mattingley,51 Hayes Plaza,Nicoli,Shoorbrooke,5419 Jackson Hill,329-989-2899
Maribeth,Steutly,Klaiser,316 Sutteridge Street,3/26/2001,Baoxu,(993) 2406971,Graduate,Female,1997,1st grade,1997,0,1995,,,Helge,Steutly,316 Sutteridge Street,Andra,Splevin,5 Rigney Trail,208-304-7002
Allissa,Thornham,Owain,573 Riverside Pass,1/21/2013,Marathﾃｳkampos,(907) 7410148,Undergraduate,Female,1994,1st grade,1994,0,2009,,,Ricky,Thornham,573 Riverside Pass,Zita,Romand,3760 Porter Lane,603-981-9979
Frederigo,Issitt,Curds,6400 Sugar Crossing,7/19/1996,Lavras da Mangabeira,(929) 7652279,Undergraduate,Male,2012,1st grade,2009,0,1993,,,Kimble,Issitt,6400 Sugar Crossing,Tam,Bernhart,54370 Union Hill,559-218-3210
Wallache,Hischke,Spiring,44 Northfield Crossing,5/4/2003,Guadalupe,(372) 7811543,Undergraduate,Male,2009,1st grade,2005,0,2004,,,Eldon,Hischke,44 Northfield Crossing,Fritz,Jzak,5 Lerdahl Circle,664-390-8372
Nata,Fust,Brightie,8384 Riverside Hill,2/21/2005,Hanjia,(899) 5414653,Undergraduate,Female,2007,1st grade,2008,0,2010,,,Dayna,Fust,8384 Riverside Hill,Blair,Fonzone,52286 Lakewood Gardens Lane,128-609-4722
Rani,Balassa,Duffet,70 Reindahl Center,11/12/2008,Novoselﾃｫ,(678) 9451390,Graduate,Female,1997,1st grade,2010,1999,1989,University of the Philippines,Ateneo de Manila University,Danyette,Balassa,70 Reindahl Center,Jacki,Ubach,02 Redwing Park,260-353-1152
Frannie,De Ortega,Lau,3900 Fieldstone Hill,12/18/1997,Santisimo Rosario,(887) 3998377,Graduate,Female,2008,1st grade,2000,0,1993,,,Janet,De Ortega,3900 Fieldstone Hill,Sibby,Poinsett,4644 Lawn Court,461-556-4715
Janice,Mangion,Finlater,7 Valley Edge Circle,4/6/1996,Devnya,(610) 5852887,Undergraduate,Female,1993,1st grade,2006,0,2004,,,Shanie,Mangion,7 Valley Edge Circle,Norrie,Proudlock,9545 Sunbrook Crossing,829-912-6815
Mead,Blondin,Shere,5 Holmberg Center,6/7/2006,Rosthern,(522) 1303901,Graduate,Female,2004,1st grade,2009,0,2002,University of the Philippines,Ateneo de Manila University,Zara,Blondin,5 Holmberg Center,Karry,Lowndesbrough,6 Scott Junction,120-651-2955
Durant,Ranald,Dullard,843 International Place,11/17/1994,Agudos,(842) 1387525,Graduate,Male,1997,1st grade,1998,0,1995,De La Salle University,Ateneo de Manila University,Wylie,Ranald,843 International Place,Marmaduke,Akess,163 Shoshone Plaza,215-311-5284
Berke,Brozsset,Gorries,95848 Shoshone Circle,10/11/1998,Faﾅｾana,(834) 6509037,Graduate,Male,1984,1st grade,2002,0,1993,,,Jarvis,Brozsset,95848 Shoshone Circle,Kasper,Conor,28586 Nevada Way,204-553-1234
Pippy,Mulqueeny,Chiswell,5 Pepper Wood Pass,4/9/2004,Jiaocha,(726) 8543270,Graduate,Female,2003,1st grade,2009,0,1993,,,Walliw,Mulqueeny,5 Pepper Wood Pass,Krissie,Gorey,276 Scoville Crossing,681-871-2640
Elberta,De Metz,Ewen,489 Little Fleur Crossing,5/18/2008,Sunbu,(281) 9930548,Graduate,Female,2000,1st grade,2006,0,2004,,,Carita,De Metz,489 Little Fleur Crossing,Di,Gadsdon,8585 Dennis Pass,193-830-8560
Valery,Jerams,Kemery,30 Brentwood Way,4/11/2006,Casa Nova,(298) 4316233,Undergraduate,Female,1991,1st grade,1995,0,2003,,,Mirabelle,Jerams,30 Brentwood Way,Izabel,Di Biasio,91086 Shasta Street,682-823-7138
Tallie,Clawe,Kryszkiecicz,406 Crownhardt Drive,7/30/2001,Bﾅｫrabay,(497) 4954168,Graduate,Female,1993,1st grade,1980,0,2002,,,Christian,Clawe,406 Crownhardt Drive,Cordi,Windibank,2041 Cody Center,733-390-1357
Franciska,Tams,Cunningham,4673 Bartillon Park,8/8/2003,Pasﾅ・ﾄ・k,(733) 2465294,Graduate,Female,2004,1st grade,2007,0,1993,University of Santo Tomas,Ateneo de Manila University,Mandy,Tams,4673 Bartillon Park,Fionnula,Oldaker,705 Roxbury Street,252-134-8764
Lin,Garlette,Coutthart,53 Kensington Hill,10/10/1994,Batgrﾄ・m,(258) 1294604,Graduate,Male,1984,1st grade,2011,0,2004,,,Pacorro,Garlette,53 Kensington Hill,Donnell,Pardal,8 Drewry Point,929-401-3300
Tymon,Mosen,Pinckstone,60 Spenser Place,9/28/2010,Shuitian,(857) 1125104,Graduate,Male,1995,1st grade,2002,0,2005,,,Yvon,Mosen,60 Spenser Place,Avram,Sidey,67085 Prairie Rose Junction,285-212-9689
Wyn,Chudleigh,Miliffe,4662 Scott Junction,8/27/2009,Paris 18,(471) 5456140,Graduate,Male,2000,1st grade,1984,0,1994,,,Sandro,Chudleigh,4662 Scott Junction,Jeffie,Mackleden,6 Eastlawn Court,941-432-6894
Sari,Avramov,Fradgley,7 Toban Road,3/1/2011,Fulu,(715) 6564081,Graduate,Female,2008,1st grade,1990,0,1987,,,Delores,Avramov,7 Toban Road,Sharai,Gerish,76 Manley Pass,515-237-0427
Bibbye,Pietsma,Ingerson,032 Killdeer Lane,12/6/1997,Jeju-si,(624) 3707335,Graduate,Female,2002,1st grade,2006,0,2007,,,Michelina,Pietsma,032 Killdeer Lane,Shannon,Afonso,12212 Messerschmidt Plaza,301-675-0807
Sampson,Waycott,MacEnelly,2717 Fairfield Court,8/21/1998,Gunziying,(772) 2727904,Graduate,Male,1984,1st grade,1999,0,1986,,,Hilario,Waycott,2717 Fairfield Court,Aland,Sharrard,82304 Mandrake Terrace,434-298-8911
Cristionna,Baccus,Tal,42 Ryan Junction,6/19/2011,Denyshi,(273) 1976263,Undergraduate,Female,2007,1st grade,2008,0,1992,,,Ruth,Baccus,42 Ryan Junction,Moria,Knowler,44 Cambridge Drive,678-768-7248
Perla,Rawsthorne,Pennrington,9 Nova Court,7/7/2000,Siva,(774) 9854039,Undergraduate,Female,1998,1st grade,2007,0,1997,,,Grazia,Rawsthorne,9 Nova Court,Verena,O'Lagen,76989 Carioca Alley,926-789-4186
Sebastiano,Chittenden,Tarbett,5540 Hansons Crossing,10/15/2008,Xiahong,(181) 6713091,Undergraduate,Male,1996,1st grade,2010,0,2008,,,Farr,Chittenden,5540 Hansons Crossing,Ash,Catterell,3938 Forest Plaza,740-999-0113
Haslett,Kalb,Schuelcke,365 Monica Parkway,12/13/2001,Shﾄ・hﾄｫn Dezh,(530) 6684765,Graduate,Male,2004,1st grade,2007,0,2003,,,Bentley,Kalb,365 Monica Parkway,Nelson,McKeowon,6360 Rowland Avenue,796-478-5113
Dannie,McCarlich,Finch,9501 Hudson Point,3/21/2012,Qiryat Yam,(454) 3669794,Undergraduate,Male,2008,1st grade,2001,0,2011,,,Reagan,McCarlich,9501 Hudson Point,Quent,Spratling,3 Crest Line Plaza,328-453-7111
Garner,Dami,Lambrechts,466 Butterfield Hill,5/17/1999,Bungereng,(900) 4330588,Graduate,Male,2007,1st grade,2008,0,2000,,,Stefano,Dami,466 Butterfield Hill,Joaquin,Malling,487 Declaration Pass,233-937-6829
Cynthy,Pilbeam,Tofanelli,17486 Esker Hill,12/31/1998,Cipanggung,(753) 6393310,Undergraduate,Female,1992,1st grade,2006,0,1997,De La Salle University,Ateneo de Manila University,Stacie,Pilbeam,17486 Esker Hill,Jasmine,Fidgeon,25234 Muir Drive,728-457-6890
Nikolai,Stidworthy,Kyteley,94 Heffernan Road,9/18/1997,Tucson,(520) 2329189,Graduate,Male,2005,1st grade,2013,0,2003,,,Ximenez,Stidworthy,94 Heffernan Road,Hurleigh,Sterling,9006 Service Avenue,510-402-2599
Ivette,Digg,Cleef,56275 Autumn Leaf Park,1/4/2004,Pak Phanang,(690) 5919565,Undergraduate,Female,2005,1st grade,2005,0,2004,,,Alethea,Digg,56275 Autumn Leaf Park,Nerta,Westraw,78730 Rigney Drive,328-659-8040
Jinny,Tolle,MacKinnon,4 Eastlawn Avenue,2/22/1998,Bugo,(170) 8047501,Graduate,Female,1992,1st grade,2006,0,2005,,,Babita,Tolle,4 Eastlawn Avenue,Ynez,Ping,89 Daystar Hill,871-893-9071
Irwinn,Edrich,Latch,7279 Shopko Way,3/5/2003,Th・ｻ・ Tr・ｺ･n Na S・ｺｧm,(114) 2257680,Undergraduate,Male,1997,1st grade,1992,1999,1995,De La Salle University,Ateneo de Manila University,Wang,Edrich,7279 Shopko Way,Brook,Sweynson,5 Dwight Circle,303-538-7008
Baron,Duffell,Towsey,8823 Ridge Oak Place,10/10/2004,Jankowice,(141) 3285898,Graduate,Male,1999,1st grade,2008,2004,2002,,,Octavius,Duffell,8823 Ridge Oak Place,Munroe,Rides,53 Eastlawn Place,315-659-0428
Benson,Crowley,Weine,24 Corben Road,3/3/1996,Dolavﾃｳn,(521) 7185162,Graduate,Male,1993,1st grade,2006,0,1989,,,Conrado,Crowley,24 Corben Road,Borden,Darrach,24 Lerdahl Circle,640-970-2254
Jana,Grinley,Hause,46905 Buell Place,10/25/2012,Yauca,(170) 8039868,Graduate,Female,1985,1st grade,1964,0,2003,,,Talyah,Grinley,46905 Buell Place,Shaylah,Greenstock,1 Florence Way,749-315-2786
Spence,Duckers,Barnby,429 Trailsway Plaza,8/16/2011,Jintao,(823) 5221250,Undergraduate,Male,2009,1st grade,1999,0,2012,,,Maxy,Duckers,429 Trailsway Plaza,Kendal,Matantsev,2 Hoffman Center,365-414-8622
Sharron,Dulson,Laird,72 Service Trail,8/13/2014,Ningxi,(525) 3760441,Undergraduate,Female,1996,1st grade,2004,0,2013,Ateneo de Manila University,Ateneo de Manila University,Rosalinde,Dulson,72 Service Trail,Mari,Hurrell,35 Hintze Avenue,534-199-2228
Rob,Monckman,Ida,1 Jana Avenue,12/6/1997,Sulkava,(619) 7523800,Undergraduate,Male,1998,1st grade,2010,0,1999,,,Derry,Monckman,1 Jana Avenue,Barry,Nolton,3326 Holmberg Alley,489-122-6038
Tilda,Rosi,Janks,21 Thackeray Plaza,2/19/2002,Prislonica,(337) 9392246,Undergraduate,Female,1994,1st grade,1993,1996,2012,,,Rebeka,Rosi,21 Thackeray Plaza,Myra,Wickey,7936 Shopko Plaza,663-268-2731
Olly,Pawnsford,Paynes,72 Oxford Circle,6/13/2011,Weifang,(916) 1495682,Graduate,Male,2004,1st grade,2006,0,2000,,,Sandro,Pawnsford,72 Oxford Circle,Vergil,Kershow,53 Di Loreto Circle,651-263-2679
Monte,Durden,Colston,29 Crownhardt Center,4/20/2000,Nﾃｼrnberg,(226) 1537523,Undergraduate,Male,2012,1st grade,1995,0,2005,,,Gabriello,Durden,29 Crownhardt Center,Brantley,Killeley,85 Ridgeway Circle,803-386-0066
Grantham,Louiset,Overil,6950 Ryan Way,5/14/2006,Kunﾄ・ice pod Ondﾅ・ejnﾃｭkem,(324) 7381334,Graduate,Male,2010,1st grade,1993,2008,2007,,,Alwin,Louiset,6950 Ryan Way,Nickolaus,Dobinson,61 Twin Pines Center,865-218-3991
Tomasine,Hurch,Margarson,831 Forest Run Pass,5/5/1994,Tall ・ｸｨamﾄｫs,(331) 3937143,Graduate,Female,2006,1st grade,2000,0,1997,,,Annie,Hurch,831 Forest Run Pass,Alta,Huggan,6 Orin Circle,837-507-6333
Auguste,Hacard,Szepe,9 Logan Crossing,12/23/1995,Caﾃｱete,(435) 7077798,Graduate,Female,2011,1st grade,1995,0,1996,,,Ellie,Hacard,9 Logan Crossing,Adrea,Center,67365 Manley Way,718-668-8908
Ronica,Dunsford,Gingel,2 Fallview Center,2/15/2014,Banyulegi,(592) 6315056,Undergraduate,Female,2012,1st grade,2001,0,1991,,,Valentia,Dunsford,2 Fallview Center,Trudie,Rizzini,513 Delladonna Drive,202-743-7197
Leah,Gavey,Juden,7 Elgar Place,10/15/1997,Xianyang,(503) 2085450,Undergraduate,Female,2010,1st grade,1991,0,1991,De La Salle University,Ateneo de Manila University,Latisha,Gavey,7 Elgar Place,Arlinda,Kinglesyd,16954 Alpine Plaza,157-429-7132
Gherardo,Dymidowicz,Stredder,3 Kedzie Plaza,12/22/2009,Guanzhou,(283) 2903965,Undergraduate,Male,1994,1st grade,2002,0,2012,,,Randie,Dymidowicz,3 Kedzie Plaza,Gordie,Ansett,512 Morrow Drive,662-207-8733
Bert,Gronw,Rodger,2 Golden Leaf Alley,12/8/2014,Czarnoﾅｼyﾅ・y,(909) 3049067,Undergraduate,Male,2003,1st grade,2004,0,1993,,,Tristam,Gronw,2 Golden Leaf Alley,Hendrick,Wolland,96 Declaration Terrace,912-853-4513
Gunar,Pottie,Fipp,34384 Fallview Point,7/14/2005,Wang・・er,(100) 9562525,Undergraduate,Male,2004,1st grade,2003,2006,2011,,,Mohandis,Pottie,34384 Fallview Point,Renaldo,McCreery,4 Chive Crossing,454-865-3226
Booth,Spall,Coolican,14 Troy Park,6/15/2006,Silgueiros,(122) 8003130,Graduate,Male,1991,1st grade,2006,0,2005,,,Dieter,Spall,14 Troy Park,Langston,Coxhell,073 Bunker Hill Terrace,705-696-4088
Candi,Goldingay,Richarz,217 Lunder Lane,9/24/2003,Yipeng,(240) 7094782,Undergraduate,Female,1998,1st grade,2008,0,2005,,,Mufi,Goldingay,217 Lunder Lane,Kathye,Kemson,784 Mifflin Way,217-988-4094
Freeman,Gullane,Satterley,663 North Circle,4/27/1997,"Palmas De Gran Canaria, Las",(947) 7300364,Undergraduate,Male,2007,1st grade,2007,0,1997,,,Silvanus,Gullane,663 North Circle,Jan,Prozillo,688 Independence Circle,498-666-2240
Burke,Bromage,Allworthy,29 Farmco Junction,5/18/2002,Kladanj,(568) 6874060,Undergraduate,Male,2003,1st grade,2009,0,2008,,,Waite,Bromage,29 Farmco Junction,Bartram,Valentetti,66123 Mcbride Place,751-173-0495
Patricio,Pocock,Dearsley,57879 Oxford Center,11/3/2013,Chajarﾃｭ,(725) 9991269,Graduate,Male,1995,1st grade,2003,0,1993,,,Allen,Pocock,57879 Oxford Center,Davy,Borrows,720 Harper Way,192-550-5045
Otes,Yorston,Ysson,2944 Beilfuss Hill,1/16/2008,Banjar Wates Tengah,(865) 3714274,Graduate,Male,2008,1st grade,2012,0,2009,,,Del,Yorston,2944 Beilfuss Hill,Somerset,Mityakov,92927 Lake View Pass,126-362-2749
Sonny,Duckerin,St. Pierre,33 Comanche Way,3/8/2012,Detroit,(734) 8809163,Graduate,Male,1997,1st grade,1992,0,2004,,,Tedmund,Duckerin,33 Comanche Way,Garvy,Starten,33 Ridgeview Circle,213-213-1086
Giacobo,Wollard,Ghirigori,81 Glacier Hill Avenue,10/25/1998,Zhize,(492) 3529990,Undergraduate,Male,1985,1st grade,1973,0,2011,,,Shanan,Wollard,81 Glacier Hill Avenue,Sidney,Iapico,8117 Algoma Trail,753-508-4676
Tadeas,Wallwork,Wilkie,0958 Anzinger Avenue,10/1/2005,Jiyang,(503) 3145592,Undergraduate,Male,2009,1st grade,2011,0,1995,,,Xymenes,Wallwork,0958 Anzinger Avenue,D'arcy,Phelp,809 Kim Parkway,703-988-2200
Lulu,Duer,Charlewood,1858 Melvin Crossing,8/22/1995,Zubrzyca Dolna,(105) 6232342,Graduate,Female,2003,1st grade,1996,0,2008,,,Cristin,Duer,1858 Melvin Crossing,Benni,Aldam,7020 Shelley Park,842-352-6647
Avictor,Ox,Bodley,481 Harper Court,4/2/2011,Odrinhas,(948) 7879536,Graduate,Male,2005,1st grade,1987,0,2012,,,Jorge,Ox,481 Harper Court,Moises,Kane,86640 Loeprich Way,900-745-1302
